@relation "citeseer-constraint"

@attribute reference string
@attribute class {'594', '279', '198', '51', '54', '57', '201', '120', '600', '204', '123', '603', '522', '360', '207', '126', '606', '525', '444', '363', '282', '129', '609', '528', '447', '366', '285', '369', '288', '63', '64', '66', '69', '210', '3', '213', '132', '6', '612', '531', '450', '216', '135', '9', '615', '534', '453', '372', '291', '219', '138', '618', '537', '456', '375', '294', '459', '378', '297', '72', '75', '78', '300', '303', '222', '141', '621', '540', '306', '225', '144', '624', '543', '462', '381', '309', '228', '147', '627', '546', '465', '384', '549', '468', '387', '81', '84', '87', '312', '150', '630', '315', '234', '153', '552', '471', '390', '318', '237', '156', '555', '474', '393', '159', '558', '477', '396', '12', '399', '15', '18', '90', '93', '99', '402', '240', '321', '405', '162', '243', '324', '480', '408', '165', '327', '564', '483', '168', '249', '567', '486', '21', '489', '24', '411', '330', '414', '171', '252', '333', '334', '570', '417', '174', '255', '336', '573', '492', '177', '258', '339', '576', '495', '30', '579', '498', '33', '36', '39', '102', '501', '420', '105', '504', '423', '180', '108', '261', '342', '507', '426', '183', '264', '345', '582', '429', '186', '267', '348', '585', '189', '588', '42', '45', '48', '111', '510', '114', '513', '432', '117', '270', '351', '516', '435', '192', '273', '354', '591', '438', '519', '276', '357'}


@data
"Vadim Maslov and William Pugh. Simplifying polynomial constraints over integers to make dependence analysis more precise. Technical Report CS-TR-3109.01, Dept. of Computer Science, University of Maryland, College Park, February 1994. Submitted to", '3'
"Daniel M. Russell, Constraint Networks: Modeling and Inferring Object Locations by Constraints, Technical Report 38, University of Rochester Computer Science Dept., August 1978.", '6'
"G. E. Hinton, T. J. Sejnowski, and D. H. Ackley. Boltzmann machines: Constraint satisfaction networks that learn. Technical Report CMU-CS-84-119, Carnegie-Mellon University, Pittsburg, PA, May 1984.", '9'
"Geoffrey E. Hinton, Terrence J. Sejnowski, and David H. Ackley. Boltzmann machines: Constraint satisfaction networks that learn. Technical Report CMU-CS-84-119, CarnegieMellon University, Pittsburgh, PA 15213, 1984.", '9'
"Hinton, G., Ackley, D. & Sejnowski, T. (1984), Boltzmann machines: Constraint satisfaction networks that learns, Technical Report CMU-CS-84-119, Carnegie-Mellon University, Department of Computer Science.  James, W. (1890), Principles of psychology, in J", '9'
"G. E. Hinton, T. J. Sejnowski, and D. H. Ackley. Boltzmann machines: Constraint satisfaction networks that learn. Technical Report CMU-CS-84119, Carnegie-Mellon University, Pittsburg, PA, May 1984.", '9'
"P. Prosser. An empirical study of phase transitions in binary constraint satisfaction problems. Technical Report AISL-49-93, Department of Computer Science, University of Strathclyde, 1993. To appear in the AI Journal special issue on Phase Transiti", '12'
"I. P. Gent and T. Walsh. The Satisfiability Constraint Gap. Research Paper 702, Department of A.I., University of Edinburgh, 1994. To appear in the AI Journal special issue on Phase Transitions in Problem Spaces.  43", '15'
"BURKE E.K., ELLIMAN D.G. and WEARE R.F. (1993), A University Timetabling System Based on Graph Colouring and Constraint Manipulation, To appear in the Journal of Research on Computing in Education.", '18'
"Burke E.K., Elliman D.G. and Weare R.F. (1993a) A University Timetabling System Based on Graph Colouring and Constraint Manipulation, To appear in the Journal of Research on Computing in Education. Vol. 26. issue 4", '18'
