@relation "citeseer-face"

@attribute reference string
@attribute class {'675', '594', '279', '198', '678', '597', '51', '54', '57', '201', '120', '600', '204', '123', '603', '522', '441', '360', '207', '126', '606', '525', '444', '363', '282', '129', '681', '609', '528', '447', '366', '285', '684', '369', '288', '687', '60', '61', '63', '66', '69', '210', '3', '213', '132', '6', '612', '531', '450', '216', '135', '9', '615', '534', '453', '372', '291', '219', '138', '454', '455', '690', '618', '537', '456', '375', '294', '693', '378', '297', '696', '699', '72', '75', '78', '300', '303', '222', '141', '702', '621', '540', '306', '225', '705', '624', '543', '462', '381', '228', '147', '708', '627', '546', '465', '384', '549', '468', '387', '81', '84', '87', '231', '150', '711', '630', '315', '234', '153', '714', '633', '552', '471', '390', '237', '156', '717', '636', '474', '393', '159', '639', '558', '477', '396', '12', '399', '18', '90', '93', '96', '99', '240', '321', '402', '720', '162', '243', '324', '405', '723', '642', '561', '480', '165', '246', '327', '408', '726', '645', '564', '483', '168', '249', '729', '648', '567', '486', '21', '489', '24', '27', '330', '411', '171', '252', '333', '414', '732', '651', '570', '174', '255', '336', '417', '735', '654', '573', '492', '177', '258', '339', '738', '657', '576', '495', '30', '579', '498', '33', '36', '39', '102', '501', '105', '420', '504', '180', '108', '261', '342', '423', '741', '660', '507', '183', '264', '345', '426', '744', '663', '582', '186', '267', '348', '429', '747', '666', '585', '189', '669', '588', '42', '45', '48', '111', '510', '114', '513', '117', '270', '351', '432', '750', '516', '192', '354', '435', '753', '672', '591', '519', '195', '357', '438'}


@data
"Espinoza, F. and K. Hfifik (1996). A WWW Interface to an Adaptive Hypermedia System. Proc. of the 1st conference on the Practical Application of Intelligent Agents and Multi-Agents, PAAM'96, London. Also available at http://www.sics.se/ ~kia/PAAM_submiss", '3'
"Isbister, K. (1994) Perceived Intelligence and the Design on Computer Characters, http://www.cyborganic.com/People/kath/lccpaper.html  Lashkari, Y. et al. (1994) Collaborative Interface Agents, in Proceedings of the National Conference on Artificial", '6'
"Lashkari, Yezdi, Metral, Max, and Maes Pattie, Collaborative Interface Agents,     Proceedings of the Twelfth National Conference on Artificial Intelligence    , MIT Press, Cambridge, MA, 1994.", '9'
"Collaborative Interface Agents, Yezdi Lashkari, Max Metral, and Pattie Maes,     Proceedings of the Twelfth National Conference on Articial Intelligence    , MIT Press, Cambridge, MA, 1994.", '9'
"Collaborative Interface Agents, Yezdi Lashkari, Max Metral, and Pattie Maes,     Proceedings of the Twelfth National Conference on Articial Intelligence    , MIT Press, Cambridge, MA, 1994.", '9'
"Lashkari, Y., Metral, M., Maes, P. Collaborative Interface Agents. In Proceedings of the National Conference on Artificial Intelligence. Cambridge (MA): The MIT Press, 1994.", '9'
"Metral M. Lashkari, Y. and P. Maes. Collaborative interface agents. In Conference of the American Association for Artificial Intelligence, Seattle, WA, August 1994.", '9'
"Lashkari, Y., M. Metral, and P. Maes (1994). Collaborative Interface Agents. Proceedings of the 12th AAAI. Vol. 1. AAAI Press, Seattle, WA.", '9'
"Maes, P., and Kozierok, R. 1993. Learning interface agents. In Proceedings of AAAI-93.", '12'
"Maes, P., Kozierok, R. (1993). Learning interface agents. In: Proceedings of the AAAI'93.", '12'
"P. Maes and R. Kozierok. Learning interface agents. In Proceedings of INTERCHI-93, 1993.", '12'
"Maes P. & Kozierok R., Learning Interface Agents, Proceedings of AAAI93, the Eleventh National Conference on Artificial Intelligence, MIT Press, 1993.", '12'
"P. Maes and R. Kozierok. Learning interface agents. In Proc. AAAI-93, pages 459465, July 1993.", '12'
"Maes, P. and Kozierok, R., 1993. Learning interface agents. In", '12'
"[MaKo93] Maes, P., Kozierok, R., Learning Interface Agents, Proc AAAI'93.", '12'
"P. Maes and R. Kozierok. Learning interface agents. In Proceedings of the Eleventh National Conference on Artificial Intelligence (AAAI-93, pages 459-465. AAAI Press/The MIT Press, 1993.", '12'
"Pattie Maes and Robyn Kozierok. Learning Interface Agents. In Proceedings of the Eleventh National Conference on AI. AAAI, AAAI Press/MIT Press, 1993.", '12'
"Kozierok, Robin, and Maes, Pattie, A Learning Interface Agent for Meeting Scheduling,     Proceedings of the 1993 International Workshop on Intelligent user Interfaces    , ACM Press, New York, 1993.", '18'
"R. Kozierok and P. Maes. A learning interface agent for scheduling meetings. In W. D. Gray, W. E. Heey, and D. Murray, editors, Proc. of the International Workshop on Intelligent User Interfaces, Orlando FL, pages 8188, New York, 1993. ACM Press.", '18'
"R. Kozierok and P. Maes. A Learning Interface Agent for Scheduling Meetings. In W. D. Gray, W. E. Hefley, and D. Murray, editors, Proc. of the International Workshop on Intelligent User Interfaces, Orlando FL, pages 8188, New Yo", '18'
"A Learning Interface Agent for Meeting Scheduling, Robin Kozierok and Pattie Maes,     Proceedings of the 1993 International Workshop on Intelligent user Interfaces    , ACM Press, New York, 1993.", '18'
"Tomoko Koda / Pattie Maes  Shneiderman, B. (1995) Looking for the Bright Side of User Interface Agents, in Interactions, vol. II.I, ACM Press: New York, 13-15  Takeuchi, A. et al. (1995) Situated Facial Displays: Towards Social Interaction, in Procee", '21'
"Ohko, T., and Anzai, Y. 1995. A user friendly interface for task assignment on multiple robots by contract net negotiation with case-based reasoning. In Abridged Proc. of the 6th International Conference on Human-Computer Interaction(HCI'95), 12.", '24'
"Takuya Ohko and Yuichiro Anzai. A user friendly interface for task assignment on multiple robots by contract net negotiation with case-based reasoning. In Abridged Proc. of the 6th International Conference on Human-Computer Interaction(HCI'95), page", '24'
"Zajicek, M., and Hewitt, J. An investigation into the use of error recovery dialogues in a user interface management system for speech recognition, Proceedings of the Conference on Human Factors in Computing Systems: 755-760, 1990", '27'
"Thorsten von Eicken, Anindya Basu, Vineet Buch, and Werner Vogels. U-Net: A User-Level Network Interface for Parallel and Distributed Computing. In Proceedings of 15th ACM Symposium on Operating Systems Principles. To appear.", '30'
"Matthias A. Blumrich, Cezary Dubnicki, Edward W. Felten, and Kai Li. Protected, User-Level DMA for the SHRIMP Network Interface. In Proc. 2nd Intl. Symposium on High-Performance Computer Architecture, February 1996.", '33'
"Matthias Blumrich, Cezary Dubnick, Edward Felten, and Kai Li. Protected, user-level dma for the shrimp network interface. In IEEE 2nd International Symposium on High-Performance Computer Architecture, February 1996. To appear.", '33'
"M. Blumrich, K. Li, R. Alpert, C. Dubnicki, E. Felten, and J. Sandberg. A Virtual Memory Mapped Network Interface  for the SHRIMP Multicomputer. In Proceedings of the 21st Annual Symposium on Computer Architecture, pages 142153, April 1994.", '36'
"Matthias A. Blumrich, Kai Li, Richard Alpert, Cezary Dubnicki, Edward W. Felten, and Jonathon Sandberg. Virtual Memory Mapped Network Interface for the SHRIMP Multicomputer. In Proceedings of the 21st Annual International Symposium on Computer Archit", '36'
"M. Blumrich, K. Li, R. Alpert, C. Dubnicki, E. Felten, and J. Sandberg. A Virtual Memory Mapped Network Interface for the SHRIMP Multicomputer. In Proceedings of the 21st Annual Symposium on Computer Architecture, pages 142-153, April 1994.", '36'
"M. Blumrich, K. Li, R. Alpert, C. Dubnicki, E. Felten, and J. Sandberg. A Virtual Memory Mapped Network Interface for the SHRIMP Multicomputer. In Proceedings of the 21st Annual Symposium on Computer Architecture, pages 142153, April 1994.", '36'
"M. Blumrich, K. Li, R. Alpert, C. Dubnicki, E. Felten, and J. Sandberg. A virtual memory mapped network interface for the shrimp multicomputer. In Proceedings of the 21st Annual Symposium on Computer Architecture, pages 142153, Apr. 1994.", '36'
"M. Blumrich, K. Li, R. Alpert, C. Dubnicki, E. Felten, and J. Sandberg. Virtual Memory Mapped Network Interface for the SHRIMP Multicomputers. In Proc. of the 21st Annual International Symposium on Computer Architecture, pages 142-153, July 1994.", '36'
