@relation "citeseer-reasoning"

@attribute reference string
@attribute class {'279', '198', '600', '603', '522', '441', '360', '606', '525', '444', '363', '282', '609', '528', '447', '366', '285', '369', '288', '3', '6', '612', '531', '450', '615', '534', '453', '372', '291', '618', '537', '456', '375', '294', '459', '378', '297', '702', '621', '540', '705', '624', '543', '462', '381', '708', '627', '546', '465', '384', '549', '468', '387', '711', '630', '714', '633', '552', '471', '390', '634', '717', '636', '555', '474', '393', '639', '558', '477', '396', '12', '399', '15', '18', '801', '720', '804', '723', '642', '561', '480', '807', '726', '645', '564', '483', '729', '648', '567', '486', '21', '489', '24', '27', '810', '813', '732', '651', '570', '816', '735', '654', '573', '492', '819', '738', '657', '576', '495', '30', '579', '498', '33', '36', '39', '102', '105', '900', '108', '903', '822', '741', '660', '906', '825', '744', '663', '582', '909', '828', '747', '666', '585', '40', '669', '42', '45', '48', '111', '114', '117', '912', '831', '750', '915', '834', '753', '672', '591', '918', '837', '594', '675', '756', '597', '678', '759', '51', '54', '57', '120', '201', '123', '204', '126', '207', '921', '840', '129', '924', '843', '681', '762', '927', '846', '684', '765', '849', '687', '768', '60', '63', '66', '69', '210', '132', '213', '135', '216', '138', '219', '852', '690', '771', '855', '774', '858', '696', '777', '699', '72', '75', '78', '300', '141', '222', '303', '144', '225', '306', '147', '228', '309', '861', '780', '864', '783', '867', '786', '789', '81', '84', '87', '150', '231', '312', '153', '234', '315', '156', '237', '318', '159', '873', '792', '876', '795', '879', '798', '90', '96', '99', '400', '402', '321', '240', '403', '324', '243', '162', '327', '165', '408', '168', '882', '885', '888', '330', '411', '333', '252', '171', '414', '336', '255', '174', '417', '339', '258', '177', '891', '894', '897', '420', '501', '342', '423', '504', '345', '264', '183', '426', '507', '185', '348', '186', '429', '189', '510', '432', '513', '354', '192', '435', '357', '276', '195', '438', '519'}


@data
"O. Etzioni, S. Hanks, D. Weld, D. Draper, N. Lesh, and M. Williamson. An Approach to Planning with Incomplete Information. In Proc. 3rd Int. Conf. on Principles of Knowledge Representation and Reasoning, San Francisco, CA, October 1992. Morgan Kaufm", '3'
"Oren Etzioni, Steven Hanks, Daniel Weld, Neal Lesh, and Michael Williamson. An approach to planning with incomplete information. In Proceedings of the Third International Conference on Knowledge Representation and Reasoning, Boston, MA, 1992.", '3'
"Etzioni, O., Hanks, S., Weld, D., Draper, D., Lesh, N., and Williamson, M. 1992. An Approach to Planning with Incomplete Information. In Proc. 3rd Int. Conf. on Principles of Knowledge Representation and Reasoning. Available via FTP from pub/ai/ at cs.wa", '3'
"O. Etzioni, S. Hanks, D. Weld, D. Draper, N. Lesh, and M. Williamson. An approach to planning with incomplete information. In Proceedings of the Third International Conference on Principles of Knowledge representation and reasoning, pages 115-125, Sa", '3'
"O. Etzioni, S. Hanks, D. Weld, D. Draper, N. Lesh, and M. Williamson. An Approach to Planning with Incomplete Information. In Proc. 3rd Int. Conf. on Principles of Knowledge Representation and Reasoning, San Francisco, CA, October 1992. Morgan Kaufma", '3'
"O. Etzioni, S. Hanks, D. Weld, D. Draper, N. Lesh, and M. Williamson. An Approach to Planning with Incomplete Information. In Proc. 3rd Int. Conf. on Principles of Knowledge Representation and Reasoning, San Francisco, CA, October 1992. Morgan Kaufma", '3'
"O. Etzioni, S. Hanks, D. Weld, D. Draper, N. Lesh, and M. Williamson. An Approach to Planning with Incomplete Information. In Proc. 3rd Int. Conf. on Principles of Knowledge Representation and Reasoning, October 1992. Available via FTP from pub/ai/ a", '3'
"J.S. Penberthy and D. Weld. UCPOP: A sound, complete, partial order planner for ADL. In Proc. 3rd Int. Conf. on Principles of Knowledge Representation and Reasoning, pages 103-114, October 1992. Available via FTP from pub/ai/ at ftp.cs.washington.ed", '6'
"Penberthy, J., and Weld, D. 1992. UCPOP: A sound, complete, partial order planner for ADL. In Proc. 3rd Int. Conf. on Principles of Knowledge Representation and Reasoning, 103-114. Available via FTP from pub/ai/ at cs.washington.edu.", '6'
"J. S. Penberthy and D. Weld. UCPOP: A sound, complete, partial order planner for ADL. In Proceedings of the third international conference on principles of knowledge representation and reasoning, pages 103-114, 1992.  33", '6'
"J.S. Penberthy and D. Weld. UCPOP: A sound, complete, partial order planner for ADL. In Proc. 3rd Int. Conf. on Principles of Knowledge Representation and Reasoning, pages 103-114, October 1992. Available via FTP from pub/ai/ at ftp.cs.washington.ed", '6'
"J. S. Penberthy and D. S. Weld. UCPOP: A sound, complete, partial order planner for ADL. In B. Nebel, W. Swartout, and C. Rich, editors, Principles of Knowledge Representation and Reasoning: Proceedings of the 3rd International Conference (KR-92), pa", '6'
"C. Backstrom. Equivalence and tractability results for SAS+ planning. In B. Nebel, W. Swartout, and C. Rich, editors, Principles of Knowledge Representation and Reasoning: Proceedings of the 3rd International Conference (KR-92), pages 126137, Cambridg", '12'
"Anand S. Rao and Michael P. Georgeff. An abstract architecture for rational agents. In Proceedings of the Third Intenatinal Conference on Principles of Knowledge Representation and Reasoning (KR '92), pages 439-449, Cambridge, Massachusetts, October", '15'
"Haddawy, P., and Hanks, S. 1992. Representations for Decision-Theoretic Planning: Utility Functions for Dealine Goals. In Proc. 3rd Int. Conf. on Principles of Knowledge Representation and Reasoning.", '18'
"Minton, S., Drummond, M., Bresina, J., and Philips, A. Total Order vs. Partial Order Planning: Factors Influencing Performance. In Proc. of the Third International Conference on Principles of Knowledge Representation and Reasoning.", '21'
"Drummond, M. 1989. Situated control rules. In Proceedings of the First International Conference on Knowledge Representation and Reasoning.", '24'
"Drummond, Mark 1989. Situated control rules. In Brachman, Ronald J.; Levesque, Hector J.; and Reiter, Raymond, editors 1989, Proceedings of the First International Conference on Principles of Knowledge Representation and Reasoning. Morga", '24'
"Drummond, M. Situated Control Rules. Proc. of the First International Conference on Principles of Knowledge Representation and Reasoning, pp. 103-113, Toronto, Canada, 1989.", '24'
"Drummond, M. 1989. Situated Control Rules. Proceedings of Conference on Principles of Knowledge Representation and Reasoning, Toronto, Canada.", '24'
"A. Borgida and D. Etherington. Hierarchical knowledge bases and efficient disjunctive reasoning. In KR-89, 1989.", '27'
"A. Borgida and D. W. Etherington, Hierarchical Knowledge Bases and Efficient Disjunctive Reasoning, Proceedings of the First International Conference on Principles of Knowledge Representation and Reasoning, Toronto, Ontario, Canada, May 1989,", '27'
"E. Pednault. ADL: Exploring the middle ground between STRIPS and the situation calculus. In Proc. 1st Int. Conf. on Principles of Knowledge Representation and Reasoning, pages 324332, 1989.", '30'
"Pednault, E. 1989. ADL: Exploring the middle ground between STRIPS and the situation calculus. In Proc. 1st Int. Conf. on Principles of Knowledge Representation and Reasoning, 324-332.", '30'
"H.A. Kautz and B. Selman. Hard problems for simple default logics. In Proc. of the First International Conference on the Principles of Knowledge Representation and Reasoning, pages 189-197, 1989.", '33'
"J. P. Delgrande and W. K. Jackson. Default logic revisited. In Proc. of the Second International Conference on the Principles of Knowledge Representation and Reasoning, pages 118-127, 1991.", '36'
"H. Katsuno and A. Mendelzon. On the difference between updating a knowledge base and revising it. In Proc. 2nd Int. Conf. on Principles of Knowledge Representation and Reasoning, pages 387-394, 1991.", '39'
"Allen, J. 1991. Planning as temporal reasoning. In Proceedings of the Second International Conference on Principles of Knowledge Representation and Reasoning, 3-14.", '40'
"Alvaro del Val. Computing Knowledge Base Updates. In Proceedings of the Third International  Conference on Principles of Knowledge Representation and Reasoning, pages 740-750, 1992.", '42'
"R. Brachman. Reducing classic to Practice: Knowledge Representation Theory Meets Reality. In Proc. 3rd Int. Conf. on Principles of Knowledge Representation and Reasoning, October 1992.", '45'
