@relation "citeseer-reinforcement"

@attribute reference string
@attribute class {'279', '51', '54', '57', '201', '204', '123', '522', '441', '360', '207', '126', '525', '444', '363', '282', '447', '285', '369', '63', '66', '69', '210', '3', '213', '6', '450', '216', '9', '135', '453', '372', '291', '138', '456', '459', '378', '72', '75', '78', '300', '303', '141', '222', '306', '144', '225', '462', '381', '309', '147', '228', '465', '384', '468', '387', '81', '84', '150', '231', '315', '153', '234', '471', '390', '318', '156', '237', '474', '159', '396', '477', '12', '399', '15', '18', '90', '96', '240', '321', '402', '162', '324', '405', '165', '246', '327', '408', '480', '249', '483', '486', '21', '24', '27', '330', '411', '171', '252', '333', '414', '174', '255', '336', '417', '177', '339', '492', '495', '498', '33', '36', '39', '102', '501', '105', '420', '504', '261', '342', '423', '507', '183', '264', '345', '426', '267', '348', '189', '42', '45', '111', '510', '114', '513', '117', '270', '351', '432', '516', '192', '273', '354', '435', '519', '195', '276', '357', '438'}


@data
"Baird, L.C., & Klopf, A. H. (1993). Reinforcement learning with highdimensional, continuous actions Wright-Patterson Air Force Base, OH. (Wright Laboratory technical report WL-TR-93-1147, available from the Defense Technical information Center, Cameron S", '3'
"Pendrith, M. (1994). On reinforcement learning of control actions in noisy and non-markovian domans. Technical Report UNSW-CSE-TR-9410, School of Computer Science and Engineering, The University of New South Wales.", '6'
"M.D. Pendrith. On reinforcement learning of control actions in noisy and non-Markovian domains. Tech. report, UNSW-CSE-TR-9410, School of Comp. Sci. and Eng., Uni. of NSW, Australia, 1994.", '6'
"Moriarty, D. E., and Miikkulainen, R. (1994a). Efficient reinforcement learning through symbiotic evolution. Technical Report AI94-224, Department of Computer Sciences, The University of Texas at Austin.", '9'
"R.S. Sutton, Temporal credit assignment in reinforcement learning, Ph.D. Thesis, Department of Computer and Information Science, University of Massachussets,1984.", '12'
"Sutton, R. S. (1984). Temporal credit assignment in reinforcement learning. PhD thesis, University of Massachusetts, Amherst.", '12'
"R. S. Sutton. Temporal Credit Assignment in Reinforcement Learning. Phd. thesis, University of Massachusetts, Amherst, 1984.", '12'
"Sutton, R. S. (1984). Temporal credit assignment in  reinforcement learning. Ph.D. Dissertation, University of Massachusetts, Amherst (also COINS Technical Report 84-02).", '12'
"Sutton, R. S., 1984. Temporal credit assignment in reinforcement learning. Ph.D. dissertation, Dept. of computer and information science, University of Massachusetts, Amherst, MA.", '12'
"R. S. Sutton. Temporal Credit Assignment in Reinforcement Learning. Phd. thesis, University of Massachusetts, Amherst, 1984.", '12'
"Sutton, R.S. Temporal credit assignment in reinforcement learning Ph.D. dissertation at University of Massachusets (1984).", '12'
"Sutton, R. S. (1984). Temporal Credit Assignment in Reinforcement Learning. PhD thesis, University of Massachusetts, Amherst, Massachusetts.", '12'
"R. S. Sutton. Temporal Credit Assignment in Reinforcement Learning. PhD thesis, University of Massachusetts, Dept. of Comp. and Inf. Sci., 1984.", '12'
"Sutton, R. S. (1984). Temporal credit assignment in reinforcement learning. Ph.D. Dissertation, Department of Computer and Information Science, University of Massachusetts, Amherst (also COINS Technical Report 84-02).", '12'
"Sutton, R.S. 1984. Temporal credit assignment in reinforcement learning. University of Massachusetts. Departement of Computer and Information Science. Technical Report 84-2. Amherst, MA.", '12'
"Steven D. Whitehead and Dana H. Ballard. A study of cooperative mechanisms for faster reinforcement learning. TR 365, Computer Science Dept., University of Rochester, Feburary 1991.", '15'
"S.D. Whitehead, A study of cooperative mechanisms for faster reinforcement learning, TR-365, Computer Science Dept., University of Rochester, 1991.", '15'
"Whitehead, Steven D. (1991). A study of cooperative mechanisms for faster reinforcement learning. Technical Report 365. University of Rochester, Computer Science Department.", '15'
"Whitehead,S.D. (1991a). A study of cooperative mechanisms for faster reinforcement learning. TR 365, Computer Science Dept., University of Rochester.", '15'
"Whitehead, S. D., 1991b. A study of cooperative mechanisms for faster reinforcement learning. Technical Report CS-365, University of Rochester, NY.", '15'
"R. Andrew McCallum. First results with utile distinction memory for reinforcement learning. Technical Report 446, University of Rochester Computer Science Dept., 1992.  25", '18'
"R. Andrew McCallum. First results with utile distinction memory for reinforcement learning. Technical Report 446, University of Rochester Computer Science Dept., 1992.  40", '18'
"McCallum, R. A. (1992). First results with utile distinction memory for reinforcement learning. Technical Report 446, Dept. Comp. Sci., Univ.", '18'
"Long-Ji Lin and Tom Mitchell. Memory approaches to reinforcement learning in nonmarkovian domains. Technical Report CMU-CS-92138, School of Computer Science, Carnegie Mellon University, 1992.", '21'
"L.-J. Lin and T. Mitchell. Memory approaches to reinforcement learning in nonMarkovian domains. Technical Report CMU-CS-92-138, Carnegie Mellon University, May 1992.", '21'
"Littman, M. L., and Boyan, J. A. (1993). A distributed reinforcement learning scheme for network routing. Technical Report CMU-CS-93-165, School of Computer Science, Carnegie Mellon University.", '24'
"M. Littman and J. Boyan. A distributed reinforcement learning scheme for network routing. Technical Report CMU-CS-93-165, School of Computer Science, Carnegie Mellon University, 1993.", '24'
"L.J. Lin. Reinforcement Learning for Robots Using Neural Networks. PhD thesis, Carnegie Mellon University, Pittsburgh, January 1993.", '27'
"L-J. Lin, Reinforcement learning for robots using neural networks, Ph.D. Thesis, Carnegie Mellon University, Pittsburgh, Pennsylvania,1993.", '27'
"Lin, L. (1993). Reinforcement Learning for Robots Using Neural Networks. PhD thesis, Carnegie Mellon University, Pittsburgh.", '27'
"Lin, L. J. (1993). Reinforcement Learning for Robots Using Neural Networks. PhD thesis, Carnegie Mellon University, Pittsburgh, PA. Technical Report CMU-CS-93-103.", '27'
"Lin, L. (1993). Reinforcement Learning for Robots Using Neural Networks. PhD thesis, Carnegie Mellon University, Pittsburgh.", '27'
"L.-J. Lin. Reinforcement Learning for Robots Using Neural Networks. PhD thesis, Carnegie Mellon University, 1993.", '27'
"L.-J. Lin. Reinforcement Learning for Robots Using Neural Networks. PhD thesis, Carnegie Mellon University, 1993.", '27'
"Long-Ji Lin. Reinforcement Learning for Robots Using Neural Networks. PhD thesis, Carnegie Mellon, School of Computer Science, January 1993.", '27'
"Long-Ji Lin. Reinforcement Learning for Robots Using Neural Networks. PhD thesis, Carnegie Mellon, School of Computer Science, January 1993.", '27'
"Long-Ji Lin. Reinforcement Learning for Robots Using Neural Networks. PhD thesis, Carnegie Mellon University, January 1993.", '27'
"Lin L.-J., Reinforcement Learning for Robots using Neural Networks, PhD thesis, Carnegie Mellon University, School of Computer Science, 1992.", '27'
