@relation "cora-ATVYOall"

@attribute author string
@attribute year string
@attribute title string
@attribute venue string
@attribute other string
@attribute all string
@attribute class {'aha1987', 'aha1989', 'aha1990', 'aha1991', 'aha1992', 'ahlskog1994a', 'asfahl1992a', 'auer1995a', 'benford1993a', 'benford1994a', 'benford1995a', 'benford1995b', 'blum1993', 'blum1994', 'brodley1992', 'brodley1992b', 'brodley1994', 'brodley1995', 'brown1992a', 'buth1992a', 'callan1991', 'callan1991aaai', 'cardie1993', 'carlson1993a', 'caruana1993', 'cesa-bianchi1993', 'cesa-bianchi1994', 'cesa-bianchi1994b', 'cesa-bianchi1996', 'cesa-bianchi1997', 'chapman1987', 'chapman1991', 'cheng1996', 'clark1993', 'cleeremans1989', 'clouse1992', 'cohen1998', 'conery1981', 'conery1983', 'conery1985', 'conery1985a', 'conery19xx', 'connel1987', 'connell1987', 'cramer1985a', 'craven1993', 'daelemans1995a', 'danyluk1993', 'dasarathy1991', 'datta1992', 'datta1995', 'deb1989a', 'dempster1977a', 'dietterich1996', 'dill1997a', 'dill1997b', 'draper1994', 'drucker1992', 'drucker1993', 'druker1992', 'dutta1988a', 'ehrenfeucht1988', 'ehrenfeucht1989', 'fahle1981a', 'fahle1991a', 'fahle1992a', 'fahle1993a', 'fahle1995a', 'fahle1997a', 'fahlen1993a', 'fahlman1974a', 'fahlman1979a', 'fahlman1980a', 'fahlman1981a', 'fahlman1981b', 'fahlman1985a', 'fahlman1987a', 'fahlman1988a', 'fahlman1988b', 'fahlman1990a', 'fahlman1990b', 'fahlman1991a', 'fahlman1991b', 'fahlman1991c', 'fahlman1993a', 'fahlman1993b', 'fahlman1996a', 'fahln1993a', 'fawcett1991', 'fawcett1992', 'fayyad1993', 'feder1995', 'forchheimer1983a', 'frankel1994a', 'freund0000a', 'freund1990', 'freund1992a', 'freund1992b', 'freund1992c', 'freund1993a', 'freund1993b', 'freund1993c', 'freund1995a', 'freund1995b', 'freund1995c', 'freund1995d', 'freund1995e', 'freund1995f', 'freund1996a', 'freund1996b', 'freund1996c', 'freund1996d', 'freund1996e', 'freund1997a', 'freund1997b', 'freund1997c', 'freund1997d', 'goldman1989', 'goldman1990', 'goldman1990a', 'goldman1990c', 'goldman1991', 'goldman1993', 'goldman1993a', 'goldman1995', 'hall1989', 'hampson1993', 'hampson1995', 'haussler1988', 'haussler1991', 'haussler1991c', 'haussler1991p', 'haussler1992', 'haussler1994', 'haussler1994a', 'haussler1996', 'helmbold1995', 'helmbold1995a', 'helmbold1996', 'helmbold1996a', 'helmbold1997', 'helmbold1997c', 'hendren1992a', 'herzog1995a', 'hoehfeld1992a', 'hu1996', 'huffman1993', 'johnson1982', 'jordan1993', 'kaelbling1993', 'kautz1993', 'kautz1995', 'kearns1987', 'kearns1987b', 'kearns1988', 'kearns1988a', 'kearns1988b', 'kearns1989', 'kearns1989a', 'kearns1990', 'kearns1990b', 'kearns1990c', 'kearns1992a', 'kearns1992c', 'kearns1993a', 'kearns1993b', 'kearns1993c', 'kearns1994a', 'kearns1994b', 'kearns1994c', 'kearns1994cryp', 'kearns1994d', 'kearns1994e', 'kearns1995a', 'kearns1995b', 'kearns1996a', 'kearns1996b', 'kearns1997a', 'kearns1997b', 'kearns1997c', 'kearns1998', 'kearns1999a', 'kearns1999b', 'kelly1991andjunk', 'kibler1978', 'kibler1981', 'kibler1983', 'kibler1985', 'kibler1988', 'kibler1988a', 'kibler1989', 'kibler1993', 'knoop1992a', 'knopp1992a', 'kriegel1993a', 'langendoen1992a', 'langley1986', 'lewis1996', 'littlestone', 'mccallum1993', 'mcdonald1987a', 'mehra1998', 'minton1992', 'mitchell1981', 'mitchell1983', 'mitchell1983ijcai', 'mitchell1993', 'mitchell1993ebl', 'mladenic', 'mladenic1993', 'moss1997', 'musick1992', 'nilsson1994', 'norvig1992', 'ortega1995andjunk', 'ourston1994', 'pazzani1990', 'pazzani1992', 'pfahler1997a', 'poggio1992a', 'poggio1992b', 'pope1992a', 'porter1986', 'quinlan1993', 'ragavan1993', 'rivest1987', 'rivest1987d', 'rivest1989', 'rivest1992', 'rivest1993', 'rivest1994', 'ruby1989', 'ruby1991', 'ruby1991a', 'ruby1992', 'rudy1992', 'rymon1993', 'safford1993', 'schapire', 'schapire1988', 'schapire1989', 'schapire1990', 'schapire1990[', 'schapire1990e', 'schapire1991', 'schapire1991l', 'schapire1992', 'schapire1992a', 'schapire1993', 'schapire1994', 'schapire1996', 'schapire1996p', 'schapire1997', 'schapire1997u', 'schapire1997um', 'schapire1998', 'schapire1998mm', 'schmill1998', 'schwartz1993', 'shapiro1980a', 'skiblics1996', 'sklansky1976', 'standish1976', 'steele1984a', 'steele1990a', 'stone1977', 'sudholt1992a', 'thrun1991a', 'torgo1990', 'torgo1995', 'utgoff1982aaai', 'utgoff1983', 'utgoff1984phd', 'utgoff1986book', 'utgoff1986mlii', 'utgoff1987', 'utgoff1988aaai', 'utgoff1988iid', 'utgoff1988pt', 'utgoff1989', 'utgoff1989mlw', 'utgoff1989pt', 'utgoff1989rp', 'utgoff1990', 'utgoff1991aaai', 'utgoff1991lmdt', 'utgoff1991mdt', 'utgoff1994', 'utgoff1995', 'utgoff1996', 'utgoff1996ks', 'utgoff1996mlii', 'utgoff1996va', 'utgoff1997', 'utgoff1997fa', 'utgoff1998', 'vitek1992a', 'walter1987a', 'webber1994', 'weber1994', 'weiss1993a', 'white1994a', 'wholey1984a', 'yee1990', 'zheng1993'}


@data
"Auer, P., Cesa-Bianchi, N., Freund, Y., & Schapire, R.", "(1995).", "Gambling in a rigged casino: The adversial multi-armed bandit problem.", "In Proceedings of the 36th Annual Symposium on Foundations of Computer Science,", "pp. 322-331.", "Auer, P., Cesa-Bianchi, N., Freund, Y., & Schapire, R. (1995). Gambling in a rigged casino: The adversial multi-armed bandit problem. In Proceedings of the 36th Annual Symposium on Foundations of Computer Science, pp. 322-331.", 'auer1995a'
"P. Auer, N. Cesa-Bianchi, Y. Freund, and R. E. Schapire,", "1995,", "\"Gambling in a rigged casino: the adversarial multi-armed bandit problem,\"", "in Proc. 36th Annual Symposium on Foundations of Computer Science,", "Los Alamitos, CA: IEEE Computer Society Press, pp. 322-331.", "P. Auer, N. Cesa-Bianchi, Y. Freund, and R. E. Schapire, \"Gambling in a rigged casino: the adversarial multi-armed bandit problem,\" in Proc. 36th Annual Symposium on Foundations of Computer Science, Los Alamitos, CA: IEEE Computer Society Press, 1995, pp. 322-331.", 'auer1995a'
"A. Blum, M. Furst, M. J. Kearns, and Richard J. Lipton.", "1993.", "Cryptographic primitives based on hard learning problems.", "In Pre-Proceedings of CRYPTO '93,", "pages 24.1-24.10,", "A. Blum, M. Furst, M. J. Kearns, and Richard J. Lipton. Cryptographic primitives based on hard learning problems. In Pre-Proceedings of CRYPTO '93, pages 24.1-24.10, 1993.", 'blum1993'
"Avrim Blum, Merrick Furst, Michael Kearns, and Richard J. Lipton.", "1993.", "Cryptographic primitives based on hard learning problems.", "In Pre-Proceedings of CRYPTO '93,", "pages 24.1-24.10,", "Avrim Blum, Merrick Furst, Michael Kearns, and Richard J. Lipton. Cryptographic primitives based on hard learning problems. In Pre-Proceedings of CRYPTO '93, pages 24.1-24.10, 1993.", 'blum1993'
"Avrim Blum, Merrick Furst, Michael Kearns, and Richard J. Lipton.", "1994.", "Cryptographic primitives based on hard learning problems.", "Proc. CRYPTO 93,", "In Douglas R. Stinson, editor, pages 278-291. Springer, Lecture Notes in Computer Science No. 773.", "Avrim Blum, Merrick Furst, Michael Kearns, and Richard J. Lipton. Cryptographic primitives based on hard learning problems. In Douglas R. Stinson, editor, Proc. CRYPTO 93, pages 278-291. Springer, 1994. Lecture Notes in Computer Science No. 773.", 'blum1993'
"A. Blum, M. Furst, M. Kearns, R. Lipton.", "1993.", "Cryptographic Primitives Based on Hard Learning Problems.", "CRYPTO,", "", "A. Blum, M. Furst, M. Kearns, R. Lipton. Cryptographic Primitives Based on Hard Learning Problems. CRYPTO, 1993.", 'blum1993'
"Blum, A., Furst, M., Jackson, J., Kearns, M., Mansour, Y., & Rudich, S.", "(1994).", "Weakly learning DNF and Characterizing Statistical Query learning using Fourier analysis.", "Proceedings of the 26th Annual ACM Symposium on Theory of Computing,", "pp. 253-262.", "Blum, A., Furst, M., Jackson, J., Kearns, M., Mansour, Y., & Rudich, S. (1994). Weakly learning DNF and Characterizing Statistical Query learning using Fourier analysis. Proceedings of the 26th Annual ACM Symposium on Theory of Computing, pp. 253-262.", 'blum1994'
"Blum, A., Furst, M., Jackson, J., Kearns, M., Mansour, Y., & Rudich, S.", "(1994).", "Weakly learning DNF and characterizing statistical query learning using fourier analysis.", "In Proceedings of the Twenty-sixth Annual ACM Symposium on Theory of Computing,", "(pp. 253-262), Montreal, Canada. ACM Press.", "Blum, A., Furst, M., Jackson, J., Kearns, M., Mansour, Y., & Rudich, S. (1994). Weakly learning DNF and characterizing statistical query learning using fourier analysis. In Proceedings of the Twenty-sixth Annual ACM Symposium on Theory of Computing, (pp. 253-262), Montreal, Canada. ACM Press.", 'blum1994'
"Blum A., Furst M., Jackson J., Kearns M., Mansour Y., and Rudich S.", "1994.", "Weakly learning DNF 10 and characterizing statistical query learning using fourier analysis.", "In Proc. 26th Annu. ACM Sympos. Theory Comput.", "ACM Press, New York, NY,", "Blum A., Furst M., Jackson J., Kearns M., Mansour Y., and Rudich S. Weakly learning DNF 10 and characterizing statistical query learning using fourier analysis. In Proc. 26th Annu. ACM Sympos. Theory Comput. ACM Press, New York, NY, 1994.", 'blum1994'
"A. Blum, M. Furst, J. Jackson, M. Kearns, Y. Mansour, and S. Rudich.", "1994.", "Weakly learning DNF and characterizing statistical query learning using Fourier analysis.", "In Proceedings of the 26th ACM Symposium on the Theory of Computing.", "ACM Press, New York, NY,", "A. Blum, M. Furst, J. Jackson, M. Kearns, Y. Mansour, and S. Rudich. Weakly learning DNF and characterizing statistical query learning using Fourier analysis. In Proceedings of the 26th ACM Symposium on the Theory of Computing. ACM Press, New York, NY, 1994.", 'blum1994'
"Avrim Blum, Merrick Furst, Jeffrey Jackson, Michael Kearns, Yishay Mansour, and Steven Rudich.", "1994.", "Weakly learning DNF and characterizing statistical query learning using fourier analysis.", "In T he 26 th Annual ACM Symposium on T heory of Computing,", "pages 253 - 262,", "Avrim Blum, Merrick Furst, Jeffrey Jackson, Michael Kearns, Yishay Mansour, and Steven Rudich. Weakly learning DNF and characterizing statistical query learning using fourier analysis. In T he 26 th Annual ACM Symposium on T heory of Computing, pages 253 - 262, 1994.", 'blum1994'
