@relation "restaurant-name"

@attribute name string
@attribute class {'439', '358', '277', '196', '359', '278', '197', '279', '198', '199', '600', '601', '520', '602', '521', '440', '603', '522', '441', '360', '604', '523', '442', '361', '280', '605', '524', '443', '362', '281', '606', '525', '444', '363', '282', '607', '526', '445', '364', '283', '608', '527', '446', '365', '284', '609', '528', '447', '366', '285', '529', '448', '367', '286', '449', '368', '287', '369', '288', '289', '0', '1', '2', '3', '4', '5', '6', '610', '7', '611', '530', '8', '612', '531', '450', '9', '613', '532', '451', '370', '614', '452', '371', '290', '615', '534', '453', '372', '291', '616', '535', '454', '373', '292', '617', '536', '455', '374', '293', '618', '537', '456', '375', '294', '619', '538', '457', '376', '295', '539', '458', '377', '296', '459', '378', '297', '379', '298', '299', '700', '701', '620', '702', '621', '540', '703', '622', '541', '460', '704', '623', '542', '461', '380', '705', '624', '543', '462', '381', '706', '625', '544', '463', '382', '707', '626', '545', '464', '383', '708', '627', '546', '465', '384', '709', '628', '547', '466', '385', '629', '548', '467', '386', '549', '468', '387', '469', '388', '389', '710', '711', '630', '712', '631', '550', '713', '632', '551', '470', '714', '633', '552', '471', '390', '715', '634', '553', '472', '391', '716', '635', '554', '473', '392', '717', '636', '555', '474', '393', '718', '637', '556', '475', '394', '719', '638', '557', '476', '395', '639', '558', '477', '396', '559', '478', '397', '479', '398', '399', '720', '721', '640', '722', '641', '560', '723', '642', '561', '480', '724', '643', '562', '481', '725', '644', '563', '482', '726', '645', '564', '483', '727', '646', '565', '484', '728', '647', '566', '485', '729', '648', '567', '486', '649', '568', '487', '569', '488', '489', '730', '731', '650', '732', '651', '570', '733', '652', '571', '490', '734', '653', '572', '491', '735', '654', '573', '492', '736', '655', '574', '493', '737', '656', '575', '494', '738', '657', '576', '495', '739', '658', '577', '496', '659', '578', '497', '579', '498', '499', '740', '741', '660', '742', '661', '580', '743', '662', '581', '744', '663', '582', '745', '664', '583', '746', '665', '584', '747', '666', '585', '748', '667', '586', '749', '668', '587', '669', '588', '589', '750', '751', '670', '752', '671', '590', '672', '591', '673', '592', '674', '593', '675', '594', '676', '595', '677', '596', '678', '597', '679', '598', '599', '680', '681', '682', '683', '684', '685', '686', '687', '688', '689', '690', '691', '692', '693', '694', '695', '696', '697', '698', '699', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '110', '111', '112', '113', '114', '115', '116', '117', '118', '119', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '200', '201', '120', '202', '121', '203', '122', '204', '123', '205', '124', '206', '125', '207', '126', '208', '127', '209', '128', '129', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '210', '211', '130', '212', '131', '213', '132', '214', '133', '215', '134', '216', '135', '217', '136', '218', '137', '219', '138', '139', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '300', '220', '301', '221', '140', '302', '222', '141', '303', '223', '142', '304', '224', '143', '305', '225', '144', '306', '226', '145', '307', '227', '146', '308', '228', '147', '309', '229', '148', '149', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '310', '230', '311', '231', '150', '312', '232', '151', '313', '233', '152', '314', '234', '153', '315', '235', '154', '316', '236', '155', '317', '237', '156', '318', '238', '157', '319', '239', '158', '159', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '400', '320', '401', '240', '321', '402', '241', '160', '322', '403', '242', '161', '323', '404', '243', '162', '324', '405', '244', '163', '325', '406', '245', '164', '326', '407', '246', '165', '327', '408', '247', '166', '328', '409', '248', '167', '329', '249', '168', '169', '410', '330', '411', '250', '331', '412', '251', '170', '332', '413', '252', '171', '333', '414', '253', '172', '334', '415', '254', '173', '335', '416', '255', '174', '336', '417', '256', '175', '337', '418', '257', '176', '338', '419', '258', '177', '339', '259', '178', '179', '500', '420', '501', '340', '421', '502', '260', '341', '422', '503', '261', '180', '342', '423', '504', '262', '181', '343', '424', '505', '263', '182', '344', '425', '506', '264', '183', '345', '426', '507', '265', '184', '346', '427', '508', '266', '185', '347', '428', '509', '267', '186', '348', '429', '268', '187', '349', '269', '188', '189', '510', '430', '511', '350', '431', '512', '270', '351', '432', '513', '271', '190', '352', '433', '514', '272', '191', '353', '434', '515', '273', '192', '354', '435', '516', '274', '193', '355', '436', '517', '275', '194', '356', '437', '518', '276', '195', '357', '438', '519'}


@data
"arnie morton's of chicago", '0'
"art's delicatessen", '1'
"art's deli", '1'
"hotel bel-air", '2'
"bel-air hotel", '2'
"cafe bizou", '3'
"campanile", '4'
"chinois on main", '5'
"citrus", '6'
"fenix", '7'
"fenix at the argyle", '7'
"granita", '8'
"grill on the alley", '9'
"grill  the", '9'
"restaurant katsu", '10'
"katsu", '10'
"l'orangerie", '11'
"le chardonnay", '12'
"le chardonnay (los angeles)", '12'
"locanda veneta", '13'
"matsuhisa", '14'
"the palm", '15'
"palm  the (los angeles)", '15'
"patina", '16'
"philippe's the original", '17'
"philippe the original", '17'
"pinot bistro", '18'
"rex il ristorante", '19'
"spago", '20'
"spago (los angeles)", '20'
"valentino", '21'
"yujean kang's gourmet chinese cuisine", '22'
"yujean kang's", '22'
"21 club", '23'
"aquavit", '24'
"aureole", '25'
"cafe lalo", '26'
"cafe des artistes", '27'
"carmine's", '28'
"carnegie deli", '29'
"chanterelle", '30'
"daniel", '31'
"dawat", '32'
"felidia", '33'
"four seasons grill room", '34'
"four seasons", '34'
"gotham bar & grill", '35'
"gramercy tavern", '36'
"island spice", '37'
"jo jo", '38'
"la caravelle", '39'
"la cote basque", '40'
"le bernardin", '41'
"les celebrites", '42'
"lespinasse", '43'
"lespinasse (new york city)", '43'
"lutece", '44'
"manhattan ocean club", '45'
"march", '46'
"mesa grill", '47'
"mi cocina", '48'
"montrachet", '49'
"oceana", '50'
"park avenue cafe", '51'
"park avenue cafe (new york city)", '51'
"petrossian", '52'
"picholine", '53'
"pisces", '54'
"rainbow room", '55'
"river cafe", '56'
"san domenico", '57'
"second avenue deli", '58'
"seryna", '59'
"shun lee west", '60'
"shun lee palace", '60'
"sign of the dove", '61'
"smith & wollensky", '62'
"tavern on the green", '63'
"uncle nick's", '64'
"union square cafe", '65'
"virgil's", '66'
"virgil's real bbq", '66'
"chin's", '67'
"coyote cafe", '68'
"coyote cafe (las vegas)", '68'
"le montrachet", '69'
"le montrachet bistro", '69'
"palace court", '70'
"second street grille", '71'
"second street grill", '71'
"steak house", '72'
"steak house  the", '72'
"tillerman", '73'
"tillerman  the", '73'
"abruzzi", '74'
"bacchanalia", '75'
"bone's", '76'
"bone's restaurant", '76'
"brasserie le coze", '77'
"buckhead diner", '78'
"ciboulette", '79'
"ciboulette restaurant", '79'
"delectables", '80'
"georgia grille", '81'
"hedgerose heights inn", '82'
"hedgerose heights inn  the", '82'
"heera of india", '83'
"indigo coastal grill", '84'
"la grotta", '85'
"mary mac's tea room", '86'
"nikolai's roof", '87'
"pano's and paul's", '88'
"pano's & paul's", '88'
"cafe  ritz-carlton  buckhead", '89'
"ritz-carlton cafe (buckhead)", '89'
"dining room  ritz-carlton  buckhead", '90'
"ritz-carlton dining room (buckhead)", '90'
"restaurant  ritz-carlton  atlanta", '91'
"ritz-carlton restaurant", '91'
"toulouse", '92'
"veni vidi vici", '93'
"alain rondelli", '94'
"aqua", '95'
"boulevard", '96'
"cafe claude", '97'
"campton place", '98'
"chez michel", '99'
"fleur de lys", '100'
"fringale", '101'
"hawthorne lane", '102'
"khan toke thai house", '103'
"la folie", '104'
"lulu", '105'
"lulu restaurant-bis-cafe", '105'
"masa's", '106'
"mifune japan center  kintetsu building", '107'
"mifune", '107'
"plumpjack cafe", '108'
"postrio", '109'
"ritz-carlton restaurant and dining room", '110'
"ritz-carlton dining room (san francisco)", '110'
"rose pistola", '111'
"adriano's ristorante", '112'
"barney greengrass", '113'
"beaurivage", '114'
"bistro garden", '115'
"border grill", '116'
"broadway deli", '117'
"ca'brea", '118'
"ca'del sol", '119'
"cafe pinot", '120'
"california pizza kitchen", '121'
"canter's", '122'
"cava", '123'
"cha cha cha", '124'
"chan dara", '125'
"clearwater cafe", '126'
"dining room", '127'
"dive!", '128'
"drago", '129'
"drai's", '130'
"dynasty room", '131'
"eclipse", '132'
"ed debevic's", '133'
"el cholo", '134'
"gilliland's", '135'
"gladstone's", '136'
"hard rock cafe", '137'
"harry's bar & american grill", '138'
"il fornaio cucina italiana", '139'
"jack sprat's grill", '140'
"jackson's farm", '141'
"jimmy's", '142'
"joss", '143'
"le colonial", '144'
"le dome", '145'
"louise's trattoria", '146'
"mon kee seafood restaurant", '147'
"morton's", '148'
"nate 'n' al's", '149'
"nicola", '150'
"ocean avenue", '151'
"orleans", '152'
"pacific dining car", '153'
"paty's", '154'
"pinot hollywood", '155'
"posto", '156'
"prego", '157'
"rj's the rib joint", '158'
"remi", '159'
"restaurant horikawa", '160'
