@relation InstanceResultListener

@attribute Key_Dataset {restaurant-nophone}
@attribute Key_Run {1}
@attribute Key_Fold {1,2}
@attribute Key_Fraction_instances {0.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,1.0}
@attribute Key_Scheme {weka.linkage.BasicDeduper}
@attribute Key_Scheme_options {'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1'}
@attribute Key_Scheme_version_ID {-4778067425483624034}
@attribute Date_time numeric
@attribute Number_of_instances numeric
@attribute pRecall numeric
@attribute pPrecision numeric
@attribute FMeasure numeric
@attribute MAP numeric
@attribute TotalPairsTrain numeric
@attribute PotentialDupePairsTrain numeric
@attribute ActualDupePairsTrain numeric
@attribute PotentialNonDupePairsTrain numeric
@attribute ActualNonDupePairsTrain numeric
@attribute DupeNonDupeRatioTrain numeric
@attribute DupeOveralProportionTrain numeric
@attribute TotalPairsTest numeric
@attribute DupePairsTest numeric
@attribute DupeNonDupeRatioTest numeric
@attribute Time_training numeric
@attribute Time_testing numeric

@data

restaurant-nophone,1,1,0.0,weka.linkage.BasicDeduper,'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1',-4778067425483624034,20061111.0935,0,0,1,1,1,105111,62,62,105049,200,0.31,0.00059,81810,50,0.000611,0.563,0.484
restaurant-nophone,1,1,0.02,weka.linkage.BasicDeduper,'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1',-4778067425483624034,20061111.0935,0,0.02,1,1,1,105111,62,62,105049,200,0.31,0.00059,81810,50,0.000611,0.563,0.484
restaurant-nophone,1,1,0.04,weka.linkage.BasicDeduper,'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1',-4778067425483624034,20061111.0935,0,0.04,1,1,1,105111,62,62,105049,200,0.31,0.00059,81810,50,0.000611,0.563,0.484
restaurant-nophone,1,1,0.06,weka.linkage.BasicDeduper,'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1',-4778067425483624034,20061111.0935,0,0.06,1,1,1,105111,62,62,105049,200,0.31,0.00059,81810,50,0.000611,0.563,0.484
restaurant-nophone,1,1,0.08,weka.linkage.BasicDeduper,'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1',-4778067425483624034,20061111.0935,0,0.08,1,1,1,105111,62,62,105049,200,0.31,0.00059,81810,50,0.000611,0.563,0.484
restaurant-nophone,1,1,0.1,weka.linkage.BasicDeduper,'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1',-4778067425483624034,20061111.0935,0,0.1,1,1,1,105111,62,62,105049,200,0.31,0.00059,81810,50,0.000611,0.563,0.484
restaurant-nophone,1,1,0.12,weka.linkage.BasicDeduper,'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1',-4778067425483624034,20061111.0935,0,0.12,1,1,1,105111,62,62,105049,200,0.31,0.00059,81810,50,0.000611,0.563,0.484
restaurant-nophone,1,1,0.14,weka.linkage.BasicDeduper,'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1',-4778067425483624034,20061111.0935,0,0.14,1,1,1,105111,62,62,105049,200,0.31,0.00059,81810,50,0.000611,0.563,0.484
restaurant-nophone,1,1,0.16,weka.linkage.BasicDeduper,'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1',-4778067425483624034,20061111.0935,0,0.16,1,1,1,105111,62,62,105049,200,0.31,0.00059,81810,50,0.000611,0.563,0.484
restaurant-nophone,1,1,0.18,weka.linkage.BasicDeduper,'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1',-4778067425483624034,20061111.0935,0,0.18,1,1,1,105111,62,62,105049,200,0.31,0.00059,81810,50,0.000611,0.563,0.484
restaurant-nophone,1,1,0.2,weka.linkage.BasicDeduper,'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1',-4778067425483624034,20061111.0935,0,0.2,1,1,1,105111,62,62,105049,200,0.31,0.00059,81810,50,0.000611,0.563,0.484
restaurant-nophone,1,1,0.22,weka.linkage.BasicDeduper,'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1',-4778067425483624034,20061111.0935,0,0.22,1,1,1,105111,62,62,105049,200,0.31,0.00059,81810,50,0.000611,0.563,0.484
restaurant-nophone,1,1,0.24,weka.linkage.BasicDeduper,'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1',-4778067425483624034,20061111.0935,0,0.24,1,1,1,105111,62,62,105049,200,0.31,0.00059,81810,50,0.000611,0.563,0.484
restaurant-nophone,1,1,0.26,weka.linkage.BasicDeduper,'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1',-4778067425483624034,20061111.0935,0,0.26,1,1,1,105111,62,62,105049,200,0.31,0.00059,81810,50,0.000611,0.563,0.484
restaurant-nophone,1,1,0.28,weka.linkage.BasicDeduper,'-B10000 NonLearnableBlocking -minSim0.1 -M Classifier -useEq -p 200 -n 200 -M1 CosineSimilarity -E -I -T WordTokenizer -I -m 1 -C functions.SMO -C 1.0 -E 1.0 -G 0.01 -A 250007 -L 0.0010 -P 1.0E-12 -N 0 -R -V -1 -W 1',-4778067425483624034,20061111.0935,0,0.28,1,1,1,105111,62,62,105049,200,0.31,0.00059,81810,50,0.000611,0.563,0.484
